DateTime,Entries,UniqueIPs
1527453721,4984,5045
1527454321,4984,5045
1527454921,4985,5046
1527456122,4983,5044
1527457322,4984,5045
1527458521,4989,5050
1527459121,4994,5055
1527460321,4997,5057
1527461521,4998,5058
1527462722,4996,5056
1527464522,4994,5054
1527466921,5001,5061
1527468121,5001,5061
1527468721,5001,5061
1527469321,4999,5059
1527470521,5001,5061
1527471722,5002,5062
1527472322,5001,5061
1527472922,4998,5058
1527473522,5005,5065
1527474121,5007,5067
1527475321,5004,5064
1527477721,5004,5064
1527480122,4999,5059
1527481321,4998,5058
1527482521,5008,5068
1527483721,5005,5065
1527486122,5004,5064
1527486723,5000,5060
1527487321,5001,5061
1527487921,5001,5061
1527488522,5003,5066
1527489721,5002,5065
1527490921,5001,5064
1527491521,5000,5063
1527492721,4998,5061
1527493322,4999,5062
1527494522,4986,5049
1527495721,4980,5044
1527496921,4976,5040
1527498121,4980,5044
1527499322,4978,5042
1527499921,4976,5040
1527500521,4975,5039
1527501121,4976,5040
1527501721,4966,5030
1527502922,4964,5028
1527504122,4963,5027
1527505322,4964,5028
1527506521,4958,5022
1527507722,4956,5020
1527508921,4954,5018
1527509521,4955,5019
1527510121,4953,5017
1527512522,4950,5014
1527513122,4948,5012
1527513721,4951,5015
1527514321,4963,5027
1527514922,4962,5026
1527515522,4964,5028
1527516121,4963,5027
1527518522,4963,5027
1527519122,4964,5028
1527520322,4963,5026
1527520922,4961,5024
1527523322,4960,5023
1527523922,4961,5024
1527524521,4963,5026
1527525122,4963,5026
1527525721,4964,5027
1527526322,4970,5033
1527526921,4972,5035
1527528122,4974,5037
1527529322,4973,5036
1527530521,4977,5041
1527531722,4972,5036
1527532322,4971,5035
1527534122,4972,5036
1527534721,4974,5038
1527535322,4973,5037
1527536522,4976,5040
1527537122,4977,5041
1527537721,4977,5041
1527538922,4977,5041
1527539522,4974,5038
1527540121,4973,5037
1527541921,4974,5038
1527542521,4973,5037
1527543722,4971,5035
1527544922,4970,5034
1527545522,4971,5035
